,petal_length,species
22,1.0,0
13,1.1,0
35,1.2,0
14,1.2,0
2,1.3,0
36,1.3,0
38,1.3,0
16,1.3,0
40,1.3,0
42,1.3,0
41,1.3,0
33,1.4,0
17,1.4,0
0,1.4,0
12,1.4,0
45,1.4,0
8,1.4,0
47,1.4,0
6,1.4,0
4,1.4,0
49,1.4,0
1,1.4,0
28,1.4,0
39,1.5,0
48,1.5,0
34,1.5,0
32,1.5,0
31,1.5,0
37,1.5,0
15,1.5,0
3,1.5,0
7,1.5,0
9,1.5,0
10,1.5,0
19,1.5,0
27,1.5,0
21,1.5,0
11,1.6,0
43,1.6,0
25,1.6,0
46,1.6,0
26,1.6,0
30,1.6,0
29,1.6,0
20,1.7,0
23,1.7,0
18,1.7,0
5,1.7,0
24,1.9,0
44,1.9,0
98,3.0,1
93,3.3,1
57,3.3,1
60,3.5,1
79,3.5,1
64,3.6,1
81,3.7,1
80,3.8,1
69,3.9,1
59,3.9,1
82,3.9,1
71,4.0,1
53,4.0,1
92,4.0,1
62,4.0,1
89,4.0,1
67,4.1,1
88,4.1,1
99,4.1,1
94,4.2,1
95,4.2,1
96,4.2,1
61,4.2,1
74,4.3,1
97,4.3,1
